ID,Name,Avail Stellar,Avail Location,Avail Record,Avail Rating,Avail Random,Travel Stellar,Return Stellar,Cargo Type,Cargo Quantity,Pickup Mode,Dropoff Mode,Scan Mask,Pay Value,Ship Count,Ship System,Ship Dude,Ship Goal,Ship Behaviour,Ship Name,Ship Start,Comp Govt,Comp Reward,Ship Subtitle,Brief Text,Quick Brief Text,Load Text,Drop Text,Comp Text,Fail Text,Time Limit,Can Abort,Ship Done Text,Aux Count,Aux Dude,Aux System,Flags 1,Flags 2,Refuse Text,Avail Ship,AvailableOn,OnAccept,OnRefuse,OnSuccess,OnFailure,OnAbort,Require,Date Increment,OnShipDone,Accept Button,Refuse Button,Display Weight
157,Black Market Wood,5004,1,0,200,10,147,-1,13,10,0,0,0xFFFF,50000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5029,6029,-1,-1,7029,-1,-1,1,-1,4,164,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
158,Environmental Trip to <DST>,203,1,0,-1,15,20002,-1,6,0,0,1,0xFFFF,12000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5030,6030,-1,-1,7030,-1,-1,1,-1,-1,-1,0,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
159,Defend New Cydonia,213,1,1,300,33,-1,-4,-1,-1,-1,-1,0xFFFF,80000,4,-1,151,6,10,-1,-1,131,20,-1,-1,6031,-1,-1,7031,-1,-1,1,-1,-1,-1,0,0x0000,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
160,Defend Lethe Prime,214,1,1,300,33,-1,-4,-1,-1,-1,-1,0xFFFF,100000,5,-1,150,6,10,-1,-1,132,20,-1,-1,6031,-1,-1,7031,-1,-1,1,-1,-1,-1,0,0x0000,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
161,Locate Rebel Fleet,10000,1,1,1000,5,-1,-4,-1,-1,-1,-1,0xFFFF,80000,8,175,148,4,-1,10006,33,128,50,-1,5033,6033,-1,-1,7033,-1,-1,0,-1,-1,-1,-1,0x0000,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
162,Rebel Interdiction,9999,1,0,1100,15,-1,-4,-1,-1,-1,-1,0xFFFF,30000,3,-1,145,0,9,10007,-1,-1,-1,-1,-1,6034,-1,-1,7034,-1,-1,1,-1,4,137,-3,0x0000,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
163,Rebel Special Ops,20000,1,256,3200,15,-1,161,15,0,0,1,0xFFFF,0,-1,-1,-1,-1,-1,-1,35,129,50,-1,5035,6035,8035,8035,7035,-1,-1,1,-1,-1,-1,0,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
164,Special Ops Insertion,161,1,1,-1,100,132,130,14,0,0,0,0x0080,-30167,-1,-1,-1,-1,-1,-1,36,129,50,-1,5036,6036,-1,8036,-1,-1,-1,0,-1,5,137,-1,0x1170,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
165,Special Ops Rendezvous,130,1,0,-1,100,133,-1,14,0,0,1,0x0080,150000,5,-6,137,-1,10,10002,37,129,50,-1,5037,6037,-1,-1,7037,-1,-1,0,-1,5,187,-1,0x1150,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
166,Confed Recon Mission,10000,1,256,3200,15,-1,221,-1,-1,-1,-1,0xFFFF,0,-1,-1,-1,-1,-1,-1,38,128,15,-1,5038,6038,-1,-1,7038,-1,-1,1,-1,-1,-1,0,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
167,Rebel Pursuit,221,1,0,-1,100,-1,191,-1,-1,-1,-1,0xFFFF,0,3,160,152,-1,10,10008,39,128,5,-1,-1,6039,-1,-1,7039,-1,-1,0,-1,-1,-1,0,0x1144,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
168,Rebel Pursuit Part 2,191,1,0,-1,100,-1,183,-1,-1,-1,-1,0xFFFF,0,1,167,153,-1,10,10009,40,128,5,-1,-1,6040,-1,-1,7040,-1,-1,0,-1,6,174,167,0x1144,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
169,Rebel Pursuit Part 3,183,1,0,-1,100,-1,167,-1,-1,-1,-1,0xFFFF,10000,4,161,149,-1,11,-1,41,128,5,-1,-1,6041,-1,-1,7041,-1,-1,0,-1,4,175,-1,0x1154,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
170,Rebel Pursuit Part 4,167,1,0,-1,100,-1,139,22,0,2,1,0xFFFF,-20166,1,196,154,2,9,10010,42,128,50,-1,-1,6042,-1,-1,7042,8042,-1,0,-1,6,188,-6,0x1114,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
171,Transport Confed Documents,10000,1,1,1,25,-1,9999,16,0,0,1,0xFFFF,5000,-1,-1,-1,-1,-1,-1,43,128,5,-1,5043,6043,-1,-1,7043,-1,-1,1,0,1,165,9999,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
172,Transport Rebel Parcels,10001,1,1,1,25,-1,9999,17,0,0,1,0xFFFF,5000,-1,-1,-1,-1,-1,-1,44,129,5,-1,5044,6044,-1,-1,7044,-1,-1,1,0,1,165,9999,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
173,Help Starbound Shipping,9999,1,0,-1,20,-1,9999,17,0,0,1,0xFFFF,10000,-1,-1,-1,-1,-1,-1,45,-1,-1,-1,5045,6045,-1,-1,7045,-1,-1,1,-1,-1,-1,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
174,Ferry Important Documents,9999,1,0,-1,20,-1,9999,16,0,0,1,0xFFFF,15000,-1,-1,-1,-1,-1,-1,46,-1,-1,-1,5046,6046,-1,-1,7046,-1,60,1,-1,1,165,9999,0x1100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
175,Dangerous Courier Mission,9999,1,0,1,20,137,9999,18,5,1,1,0xFFFF,35000,4,-6,152,-1,10,10008,47,-1,-1,-1,5047,6047,8047,-1,7047,-1,-1,1,-1,-1,-1,-1,0x1100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
176,Escort Courier to <RST>,9999,1,0,200,15,-1,9999,-1,-1,-1,-1,0xFFFF,30000,1,-6,166,3,11,10013,-1,-1,-1,-1,5048,6048,-1,-1,7048,-1,-1,1,-1,1,168,9999,0x1110,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
177,Commerce Raid,9999,1,0,400,10,-1,9999,-1,-1,-1,-1,0xFFFF,50000,3,-4,167,0,9,-1,-1,-1,-1,-1,5049,6049,-1,-1,7049,-1,-1,1,-1,2,169,-3,0x1110,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
178,Transport Engineers,9999,1,0,-1,15,-1,160,6,0,0,1,0xFFFF,5000,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,6050,-1,-1,7050,-1,-1,1,-1,-1,-1,-1,0x0180,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
179,Retrieve Equipment,160,1,0,-1,100,9999,160,5,10,1,1,0xFFFF,10000,-1,-1,-1,-1,-1,-1,51,-1,-1,-1,-1,6051,8051,-1,7051,-1,-1,1,-1,-1,-1,-1,0x1100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
180,Retrieve Colonists,160,1,0,-1,100,9999,160,6,0,1,1,0xFFFF,10000,-1,-1,-1,-1,-1,-1,52,-1,-1,-1,-1,6052,8052,-1,7052,-1,-1,1,-1,-1,-1,-1,0x1180,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
181,Get Repair Equipment,160,1,0,-1,10,9999,160,5,10,1,1,0xFFFF,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6051,8051,-1,7052,-1,-1,1,-1,-1,-1,-1,0x1100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
182,Resupply Colony,160,1,0,-1,10,9999,160,1000,-10,1,1,0xFFFF,12000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6054,8054,-1,7052,-1,-1,1,-1,-1,-1,-1,0x1100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
183,Defend Turin V,160,1,0,1,10,-1,-4,-1,-1,-1,-1,0xFFFF,20000,6,169,165,6,10,-1,-1,-1,-1,-1,-1,6055,-1,-1,7052,-1,-1,1,-1,-1,-1,-1,0x1000,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
184,Investigate Disappearances,10001,1,1024,12800,25,-1,209,-1,-1,-1,-1,0xFFFF,0,1,235,133,4,-1,-1,56,129,10,-1,5056,6056,-1,-1,7056,-1,-1,1,-1,-1,-1,-1,0x1100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
185,Lead Rebel Patrol,209,1,0,-1,100,-1,209,-1,-1,-1,-1,0xFFFF,0,2,195,162,4,-1,-1,57,129,10,-1,5057,6057,-1,-1,7057,-1,-1,1,-1,4,138,-6,0x1004,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
186,Rescue Rebel Spy,209,1,0,-1,100,-1,161,19,0,2,1,0xFFFF,0,1,133,163,5,-1,10014,58,129,15,-1,5058,6058,-1,-1,7058,-1,-1,0,-1,4,176,-1,0x1040,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
187,Get War Records,161,1,0,-1,100,179,161,12,0,1,1,0xFFFF,0,-1,-1,-1,-1,-1,-1,59,129,15,-1,5059,6059,8059,-1,7059,-1,-1,1,-1,-1,-1,-1,0x1100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
188,Locate Aliens,161,1,0,-1,100,-1,-4,-1,-1,-1,-1,0xFFFF,0,1,141,170,4,-1,-1,60,129,15,-1,5060,6060,-1,-1,7060,-1,-1,0,-1,4,184,-1,0x1044,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
189,Destroy Alien Cruiser,161,1,0,-1,100,-1,-4,-1,-1,-1,-1,0xFFFF,10000000,1,181,172,0,0,-1,61,129,50,-1,5061,6061,-1,-1,7061,-1,-1,0,-1,2,178,-1,0x1040,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
190,Investigate Disappearances,10000,1,1024,12800,25,-1,139,-1,-1,-1,-1,0xFFFF,0,1,154,133,4,-1,-1,62,128,5,-1,5062,6062,-1,-1,7062,-1,-1,1,-1,-1,-1,-1,0x1100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
191,Escort Confed Convoy,139,1,0,-1,100,-1,174,-1,-1,-1,-1,0xFFFF,0,3,165,160,-1,11,-1,63,128,10,-1,5063,6063,-1,-1,7063,-1,-1,1,-1,1,165,154,0x1104,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
192,Extract Confed Spy,174,1,0,-1,100,10001,130,20,0,1,1,0xFFFF,0,-1,-1,-1,-1,-1,-1,64,128,10,-1,5064,6064,8064,-1,7064,-1,-1,0,-1,5,179,-3,0x1044,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
193,Locate Aliens,130,1,0,-1,100,-1,-4,-1,-1,-1,-1,0xFFFF,0,1,141,170,4,-1,-1,65,128,20,-1,5065,6065,-1,-1,7065,-1,-1,0,-1,-1,-1,-1,0x1040,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
194,Destroy Alien Cruiser,130,1,0,-1,100,-1,-4,-1,-1,-1,-1,0xFFFF,10000000,1,148,172,0,0,-1,66,128,50,-1,5066,6066,-1,-1,7066,-1,-1,0,-1,1,180,-1,0x1040,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
195,Derelict Decoy,-1,2,0,-1,100,-1,-4,-1,-1,-1,-1,0xFFFF,0,4,-1,134,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0x0007,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
196,Derelict Decoy,-1,2,0,-1,100,-1,-4,-1,-1,-1,-1,0xFFFF,0,3,-1,162,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0x0007,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
197,Ferry Passengers to <DST>,-1,2,0,-1,80,20002,-1,6,0,0,1,0xFFFF,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5069,6000,-1,-1,7000,-1,-1,1,-1,-1,-1,0,0x0180,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
198,Transport Cargo to <DST>,-1,2,0,-1,80,20002,-1,1000,-10,0,1,0xFFFF,12000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5070,6008,-1,-1,7007,-1,-1,1,-1,-1,-1,0,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
199,Escort Courier to <RST>,-1,2,0,-1,50,-1,9999,-1,-1,-1,-1,0xFFFF,25000,1,-6,181,3,1,10015,-1,-1,-1,-1,-1,6071,-1,-1,7071,-1,-1,1,-1,-1,-1,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
200,Switch Sides,10001,1,-10,1,5,-1,-4,-1,-1,-1,-1,0xFFFF,-10129,1,-1,157,0,9,10016,72,128,-10000,-1,5072,6072,-1,-1,7072,-1,60,0,-1,3,137,-1,0x1044,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
201,Deliver Kestrel Parts,-1,2,-1,1600,100,-1,183,23,20,0,1,0x0080,1000000,-1,-1,-1,-1,-1,-1,73,128,-10,-1,5073,6073,-1,-1,7073,-1,-1,1,-1,2,129,-1,0x0150,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
202,Cargo Delivery to <DST>,-1,2,0,50,50,20002,-1,3,-20,0,1,0xFFFF,12000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5074,6008,-1,-1,7007,-1,-1,1,-1,2,162,-1,0x0110,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
203,Locate Weapons Cache,10001,1,4,1500,15,220,167,10,20,1,1,0xFFFF,50000,6,-6,137,-1,10,-1,75,129,10,-1,5075,6075,8075,-1,7075,-1,-1,1,-1,2,145,-2,0x0000,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
204,Distribute Rebel Munitions,167,1,4,1500,50,10001,-1,10,3,0,0,0x0080,35000,3,-6,129,-1,10,-1,-1,129,2,-1,5076,6076,-1,-1,7076,-1,30,1,-1,4,138,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
205,Dump Garbage,-1,0,0,-1,5,-3,-1,21,15,0,0,0xFFFF,20000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6077,-1,-1,7077,-1,-1,1,-1,-1,-1,-1,0x0180,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
206,Deliver Emergency Medical Supplies,-1,0,0,-1,3,-2,-1,2,5,0,0,0xFFFF,50000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6078,-1,-1,7078,-1,21,1,-1,-1,-1,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
207,Evacuate Civilians from <DST>,10000,0,2,600,3,9999,10000,6,2,1,1,0xFFFF,50000,2,-3,138,-1,0,-1,-1,128,2,-1,-1,6079,8079,-1,7079,-1,50,1,-1,-1,-1,-1,0x0180,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
208,Evacuate Civilians from <DST>,10001,0,2,600,3,10001,10001,6,2,1,1,0xFFFF,50000,2,-3,137,-1,0,-1,-1,129,2,-1,-1,6080,8080,-1,7080,-1,50,1,-1,-1,-1,-1,0x0180,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
209,Help United Galactic Express,10002,1,0,1500,20,-2,-1,1000,15,0,0,0xFFFF,70000,3,-1,159,-1,0,-1,76,142,10,-1,5081,6081,-1,-1,7081,-1,30,1,-1,1,182,-2,0x0110,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
210,UGE Recruitment,147,1,0,-1,100,-2,-1,1000,11,0,0,0xFFFF,75000,1,-3,186,-1,0,-1,77,142,10,-1,5082,6082,-1,-1,7082,-1,30,1,-1,1,182,-2,0x0110,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
211,UGE Cargo to <DST>,-1,0,0,-1,10,10000,-1,1000,13,0,0,0xFFFF,85000,1,-1,186,-1,10,-1,-1,128,2,-1,-1,6083,-1,-1,7083,-1,30,1,-1,-1,-1,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
212,UGE Delivery to <DST>,-1,0,0,-1,10,10000,-1,1000,12,0,0,0xFFFF,105000,2,-1,186,-1,10,-1,-1,128,3,-1,-1,6083,-1,-1,7083,-1,20,1,-1,1,182,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
213,UGE Transport to <DST>,-1,0,0,-1,10,10001,-1,1000,16,0,0,0xFFFF,90000,1,-1,186,-1,10,-1,-1,129,2,-1,-1,6083,-1,-1,7083,-1,27,1,-1,-1,-1,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
214,UGE Freight to <DST>,-1,0,0,-1,10,10001,-1,1000,15,0,0,0xFFFF,100000,2,-1,186,-1,10,-1,-1,129,3,-1,-1,6083,-1,-1,7083,-1,23,1,-1,1,182,-1,0x0110,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
215,UGE Cargo to <DST>,-1,0,0,-1,10,9999,-1,1000,11,0,0,0xFFFF,95000,1,-1,186,-1,10,-1,-1,142,3,-1,-1,6083,-1,-1,7083,-1,26,1,-1,-1,-1,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
216,UGE Delivery to <DST>,-1,0,0,-1,10,10002,-1,1000,18,0,0,0xFFFF,120000,2,-1,186,-1,10,-1,-1,142,5,-1,-1,6083,-1,-1,7083,-1,31,1,-1,-1,-1,-1,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
217,UGE Smuggling,20001,1,0,-1,5,10002,-1,1000,20,0,0,0xFFFF,250000,2,-1,173,-1,-1,-1,-1,-1,-1,-1,5089,6089,-1,-1,7089,-1,45,1,-1,3,159,-2,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
