ID,Name,Display Weight,Mass,Tech Level,Mod Type,Mod Value,Maximum,Flags,Cost,Mod Type 2,Mod Value 2,Mod Type 3,Mod Value 3,Mod Type 4,Mod Value 4,Contribute,Require,Availability,OnPurchase,OnSell,Outfitter Name,Lowercase Name,Lowercase Plural,Item Class,Scan Mask,Avail Random,Require Govt
168,Meizner Ramscoop,-1,5,2,18,80,1,0x0000,25000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
169,Auto-Refueller,-1,0,1,19,0,1,0x0000,5000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
170,Fighter Bay,-1,0,9999,1,138,1,0x0000,0,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
171,Rear Laser Turret,-1,0,9999,1,143,0,0x0000,0,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
172,Swivel Laser Cannon,-1,0,9999,1,144,0,0x0000,0,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
173,Tractor Beam,-1,0,9999,1,149,1,0x0004,1000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
174,Flare Launcher,-1,1,1,1,150,1,0x0000,35000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
175,Decoy Flare,-1,0,1,3,150,50,0x0000,250,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
176,Forklift,-1,0,32767,1,191,1,0x0004,9999999,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
177,Fighter Bay,-1,0,9999,1,136,1,0x0000,0,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
178,Fighter Bay,-1,0,9999,1,137,1,0x0000,0,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
179,Fighter Bay,-1,0,9999,1,145,1,0x0000,0,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
180,Fake ID Papers,-1,0,597,21,128,1,0x0000,2500000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
181,Auto-Ejection System,-1,0,2,20,-1,1,0x0000,3000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
