ID,Name,AI Type,Govt,Flags,InfoTypes,Ship 1,Ship 2,Ship 3,Ship 4,Ship 5,Ship 6,Ship 7,Ship 8,Ship 9,Ship 10,Ship 11,Ship 12,Ship 13,Ship 14,Ship 15,Ship 16,Ship 1 %,Ship 2 %,Ship 3 %,Ship 4 %,Ship 5 %,Ship 6 %,Ship 7 %,Ship 8 %,Ship 9 %,Ship 10 %,Ship 11 %,Ship 12 %,Ship 13 %,Ship 14 %,Ship 15 %,Ship 16 %
165,Wimpy Pirate Fighters,3,137,0x0089,0x008A,145,15,15,35,35,130,127,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Starbound Couriers,2,131,0x0083,0x0083,131,25,25,25,25,138,127,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,ConEx Couriers,2,131,0x0083,0x0083,131,25,25,25,25,139,127,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,ConEx Fighters,3,131,0x008A,0x008A,145,25,25,25,25,139,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,ConEx Defenders,4,138,0x008A,0x008A,138,25,25,25,25,139,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Alien Fighters,4,149,0x0095,0x0095,149,25,25,25,25,140,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Rebel Destroyer Only,3,141,0x008D,0x008D,141,25,25,25,25,129,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Alien Cruiser,4,150,0x0096,0x0096,150,25,25,25,25,140,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Pirate Lightnings,3,137,0x0089,0x0089,137,25,25,25,25,130,127,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Psycho Rebel Mantas,3,144,0x0090,0x0090,144,25,25,25,25,146,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Psycho Rebels,3,141,0x008E,0x0090,144,35,15,25,25,146,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Psycho Confed Frigates,3,133,0x0085,0x0085,133,25,25,25,25,143,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Rebel Destroyer Escort,3,141,0x008D,0x008D,141,25,25,25,25,144,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Rebel Cruiser Escort,3,142,0x008E,0x008E,142,25,25,25,25,144,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Confed interceptor escorts,3,135,0x0087,0x0093,147,30,30,20,20,145,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Confed cruiser escorts,3,134,0x0086,0x0086,134,30,30,20,20,145,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Merchant couriers,2,131,0x0083,0x0083,131,25,25,25,25,136,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,UGE Corvette/Kestrel,4,143,0x008F,0x0092,146,15,15,35,35,142,133,1000,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,ConEx Corvette/Kestrel,4,143,0x008F,0x0092,146,15,15,35,35,139,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Rebel Manta Escort,3,144,0x0090,0x0090,144,25,25,25,25,144,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Psycho Manta/Destroyer,3,144,0x0090,0x0090,141,21,21,21,37,146,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Psycho ConEx Fighters,3,131,0x008A,0x008A,145,25,25,25,25,139,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Psycho Confed Frg/Crs,3,133,0x0085,0x0086,134,25,25,25,25,143,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Psycho Rebel Dst/Crs,3,141,0x008D,0x008E,142,25,25,25,25,146,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Psycho Astex PS's,3,135,0x0087,0x0087,135,25,25,25,25,148,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Defective Confed Frg,2,133,0x0085,0x0085,133,25,25,25,25,149,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Merchant LFs,1,129,0x0081,0x0081,129,25,25,25,25,136,127,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Hunter Rapiers,3,136,0x0088,0x0088,136,25,25,25,25,152,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Psycho Escort Carrier,3,153,0x0099,0x0099,153,25,25,25,25,146,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Rebel LFs,1,129,0x0081,0x0081,129,25,25,25,25,129,127,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
