ID,Name,Reload,Duration,Mass Damage,Energy Damage,Guidance,Speed,Ammo Type,Graphic,Inaccuracy,Sound Type,Impact,Explode Type,Prox Radius,Blast Radius,Flags 1,Seeker,Smoke Set,Decay,Particles,Part Speed,Part Min Life,Part Max Life,Part Color,Beam Length,Beam Width,Corona Falloff,Beam Color,Corona Color,Sub Count,Sub Type,Sub Theta,Sub Limit,Prox Safety,Flags 2,Ionization,Hit Particles,Hit Part Life,Hit Part Speed,Hit Part Color,Recoil,Exit Type,Burst Count,Burst Reload,Jam Vuln 1,Jam Vuln 2,Jam Vuln 3,Jam Vuln 4,Flags 3,Durability,Guided Turn,Max Ammo,Li Density,Li Amplitude,Ionize Color
138,Lightning Bay,100,50,-1,-1,99,275,137,-1,0,7,0,-1,0,0,0x0002,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
139,Heavy Rockets,100,200,225,110,6,700,11,6,0,9,250,1,20,25,0x0002,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
140,Space Bombs,40,1000,750,750,5,10,12,7,30,10,750,2,40,55,0x0002,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
141,Javelin Rockets,10,100,15,0,-1,780,13,8,4,11,20,0,12,12,0x0002,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
142,Particle Beam,2,2,10,0,0,16000,-1004,-10,1,12,256,0,3,1,0x0002,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
143,Rear Laser Turret,10,30,0,10,8,875,-1,0,6,0,0,0,0,0,0x0000,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
144,Swivel Laser Cannon,20,30,0,10,7,875,-1,0,8,0,0,0,0,0,0x0000,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
145,Gunboat Bay,125,30,-1,-1,99,200,147,-1,0,6,0,-1,0,0,0x0002,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
146,Hawk Fighter Bay,125,30,-1,-1,99,200,148,-1,0,7,0,-1,0,0,0x0002,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
147,Fusion Beam,2,2,0,3,0,15000,-1,-6,1,16,1,0,1,0,0x0000,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
148,Seeker Drones,180,800,150,150,2,400,3,10,90,15,25,1,3,8,0x0043,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
149,Tractor Beam,2,2,0,0,3,9000,-1,-9,4,13,-1,-1,3,1,0x0012,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
150,Decoy Flares,28,95,0,0,5,10,22,9,30,14,0,0,0,0,0x0023,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
151,Alien Fighter Bay,30,15,-1,-1,99,200,149,-1,45,7,0,-1,0,0,0x0042,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
152,Heavy Fusion Beam,2,2,10,10,0,15000,-1,-8,1,16,128,0,3,0,0x0000,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
191,Forklift,100,1200,1000,1000,2,500,-1,63,0,23,400,2,0,100,0x0002,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
