ID,Name,Position X,Position Y,Graphic Type,Flags,Tribute,Tech Level,Tech 1,Tech 2,Tech 3,Govt,Min Status,Custom Pict,Custom Sound,Defense Dude,Defense Count,Flags 2,Anim Delay,Frame-0 Bias,Hyperlink 1,Hyperlink 2,Hyperlink 3,Hyperlink 4,Hyperlink 5,Hyperlink 6,Hyperlink 7,Hyperlink 8,OnDominate,OnRelease,Landing Fee,Gravity,Weapon,Strength,Dead Type,Dead Time,Explode Type,OnDestory,OnRegen,Tech 4,Tech 5,Tech 6,Tech 7,Tech 8
138,Maxwell's Purchase,0,0,3,0x12020043,165,0,-1,-1,-1,-1,-50,-1,-1,155,1455,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
139,Hodgson's World,0,0,5,0x22044043,151,0,-1,-1,-1,128,-3,-1,-1,137,1124,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
140,Northstar,0,0,23,0x22244047,144,2,-1,-1,-1,128,-3,-1,-1,137,1284,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
141,Master's Planet,0,0,15,0x00000001,180,0,-1,-1,-1,-1,-50,-1,-1,155,1305,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
142,Torgo Prime,0,0,21,0x00400003,179,0,-1,-1,-1,-1,-50,-1,-1,155,1255,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
143,Sirius III,0,0,17,0x04401000,135,0,-1,-1,-1,-1,-50,-1,-1,137,1324,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
144,Sirius Station,-100,-110,25,0x44202157,135,2,-1,-1,-1,128,-10,-1,-1,137,1384,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
145,Tau Ceti IV,0,0,19,0x40400421,131,0,-1,-1,-1,-1,-50,-1,-1,155,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
146,Merlin,-70,80,32,0x01002003,131,0,-1,-1,-1,128,-5,-1,-1,137,1164,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
147,Tabletop,0,0,3,0x01040143,132,0,-1,-1,-1,128,-3,-1,-1,137,1244,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
148,Enyo's World,0,0,17,0x00424200,134,0,-1,-1,-1,-1,-50,-1,-1,137,1164,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
149,Enyo Fuel Refinery,100,100,27,0x41041253,134,0,-1,-1,-1,128,-3,-1,-1,137,1183,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
150,New Sahara,0,0,10,0x00000041,133,2,-1,-1,-1,128,-3,-1,-1,137,1244,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
151,Samson's Planet,0,0,13,0x44201443,176,0,-1,-1,-1,129,-5,-1,-1,138,1255,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
152,Plateau,0,0,9,0x20012043,197,0,-1,-1,-1,128,-3,-1,-1,137,1244,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
153,Hikeeba,0,0,19,0x22111203,198,0,-1,-1,-1,-1,-50,-1,-1,155,1204,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
154,New Providence,0,0,1,0x1210120F,139,4,-1,-1,-1,128,-3,-1,-1,137,1705,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
155,Antares Station,-70,-90,24,0x40140411,139,0,-1,-1,-1,128,-3,-1,-1,137,1155,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
156,New Istanbul,0,0,4,0x2410044B,155,5,-1,-1,-1,-1,-50,-1,-1,156,1804,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
157,George's World,0,0,1,0x00242021,200,0,-1,-1,-1,134,0,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
158,P-8457,0,0,20,0x00041021,202,0,-1,-1,-1,134,0,-1,-1,128,5,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
159,Beeblebrox,0,0,5,0x22040043,168,0,-1,-1,-1,129,-5,-1,-1,138,1155,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
160,Turin V,0,0,20,0x4200244F,169,2,-1,-1,-1,129,-5,-1,-1,138,1405,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
161,Palshife,0,0,8,0x4220024F,196,3,300,400,5000,129,-5,-1,-1,158,1284,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
162,Alkaid,0,0,21,0x24000000,177,0,-1,-1,-1,-1,-50,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
163,Alkaidion,-80,50,30,0x4402414F,177,3,200,300,-1,129,-5,-1,-1,158,1062,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
164,Regulus II,0,0,20,0x00040140,143,0,-1,-1,-1,-1,-50,-1,-1,156,1204,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
165,Zaxted Starport,100,-70,25,0x2424115F,150,4,-1,-1,-1,-1,-50,-1,-1,156,1284,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
166,Zaxted,0,0,18,0x02400000,150,0,-1,-1,-1,-1,-50,-1,-1,128,5,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
167,Clotho Prime,490,-710,11,0x21020249,192,3,-1,-1,-1,129,-5,-1,-1,138,1355,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
168,Clotho II,-740,550,17,0x12400403,192,0,-1,-1,-1,129,-5,-1,10000,138,1062,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
169,Orion,0,0,22,0x21404000,188,0,-1,-1,-1,129,-5,-1,-1,138,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
170,Hunter,-80,70,31,0x20020403,188,0,-1,-1,-1,129,-5,-1,-1,138,1284,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
171,Atropos,0,0,12,0x2104444B,191,2,-1,-1,-1,129,-5,-1,-1,158,1061,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
172,Propus VII,0,0,21,0x20240000,153,0,-1,-1,-1,-1,-50,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
173,New Scotland,50,100,29,0x41244247,153,2,-1,-1,-1,-1,-50,-1,-1,155,1305,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
174,New Ireland,-160,40,30,0x4124424B,153,2,-1,-1,-1,-1,-50,-1,-1,155,1284,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
175,New France,-70,-90,32,0x4024000F,143,2,-1,-1,-1,128,-3,-1,-1,137,1324,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
176,Diphidia II,0,0,6,0x1120224F,149,1,-1,-1,-1,-1,-50,-1,-1,155,1255,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
177,New Columbia,-920,-800,2,0x01002043,131,0,-1,-1,-1,128,-3,-1,-1,137,1255,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
178,Quake,-80,80,11,0x40014021,152,0,-1,-1,-1,-1,-50,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
179,Armstrong,0,0,22,0x0004400F,189,4,-1,-1,-1,129,-5,-1,-1,158,1102,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
180,Persephone IX,0,0,21,0x00422000,187,0,-1,-1,-1,-1,-50,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
181,Rupert,-80,-80,30,0x12120243,187,0,-1,-1,-1,129,-5,-1,-1,138,1255,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
182,Darven,0,0,22,0x40012000,167,0,-1,-1,-1,-1,-50,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
183,Blackthorne,-150,-100,24,0x1010425F,167,3,200,250,-1,-1,-50,-1,-1,156,1093,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
184,Pollux VI,0,0,19,0x40001000,140,0,-1,-1,-1,-1,-50,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
185,New Japan,60,-60,32,0x1214200F,140,3,-1,-1,-1,128,-3,-1,-1,137,1405,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
186,Thanos IV,0,0,23,0x41400000,166,0,-1,-1,-1,-1,-50,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
187,Syntex Refinery,-70,-110,27,0x41242253,166,0,-1,-1,-1,129,-5,-1,-1,138,1255,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
188,Ursa Minor Beta,0,0,5,0x40042043,159,0,-1,-1,-1,129,-5,-1,10001,138,1255,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
189,Perseus II,0,0,11,0x00000000,185,0,-1,-1,-1,-1,-50,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
190,Pegasus,-75,-75,33,0x4420144F,185,2,-1,-1,-1,-1,-50,-1,-1,155,1355,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
191,Sauron,0,0,10,0x21002447,160,3,-1,-1,-1,-1,-50,-1,-1,156,1324,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
192,Darkstar,0,0,11,0x2421414F,157,3,-1,-1,-1,129,-50,11001,-1,138,1164,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
193,New Bavaria,0,0,12,0x2212004F,163,3,-1,-1,-1,-1,-50,-1,-1,155,1355,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
194,Palomino,0,0,0,0x22002403,178,0,-1,-1,-1,129,-5,-1,-1,138,1255,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
195,Tiber II,0,0,22,0x01224000,171,0,-1,-1,-1,-1,-50,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
196,Port Oread,60,-90,25,0x4220245F,171,3,200,300,-1,129,-5,-1,-1,138,1355,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
197,Akio,0,0,13,0x0201020F,182,5,200,400,-1,129,-5,-1,-1,138,1124,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
198,Lauralee,0,0,2,0x20100203,183,0,-1,-1,-1,129,-5,-1,-1,155,1255,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
199,Murphy's World,0,0,7,0x21400047,173,3,400,-1,-1,129,-5,-1,-1,138,1405,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
200,Adhara,0,0,0,0x14114403,175,0,-1,-1,-1,129,-5,-1,-1,138,1102,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
201,Sentinel Station,-280,-210,26,0x42040215,175,1,-1,-1,-1,129,-5,-1,-1,138,1405,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
202,Zeus,-670,-750,11,0x00000001,190,0,-1,-1,-1,-1,-5,-1,-1,155,1305,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
203,Hera,730,450,1,0x12022043,190,0,-1,-1,-1,-1,-5,-1,-1,155,1153,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
204,Osiris II,0,0,21,0x04201000,184,0,-1,-1,-1,-1,-50,-1,-1,155,1284,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
205,Endor,120,-70,31,0x00000001,184,0,-1,-1,-1,129,-5,-1,-1,138,1155,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
206,Topaz II,0,0,22,0x04040000,195,0,-1,-1,-1,-1,-50,-1,-1,155,3,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
207,Emerald,-110,-100,29,0x40004147,195,2,-1,-1,-1,129,-5,-1,10002,138,1355,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
208,Virgo,0,0,3,0x40210043,194,2,-1,-1,-1,129,-5,-1,-1,138,1305,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
209,Sirgil III,0,0,2,0x00000041,170,0,-1,-1,-1,129,-5,-1,-1,138,1255,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
210,Sirgil Starport,-90,-90,25,0x2104415F,170,4,-1,-1,-1,129,-5,-1,-1,158,11005,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
211,Scorpio,0,0,8,0x02001403,186,0,-1,-1,-1,129,-5,-1,-1,138,1355,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
212,Deneb III,0,0,0,0x1002024F,142,1,-1,-1,-1,-1,-50,-1,-1,156,1093,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
213,New Cydonia,0,0,20,0x42401047,158,3,-1,-1,-1,131,-5,-1,-1,135,1505,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
214,Lethe Prime,0,0,0,0x1244204F,193,3,-1,-1,-1,132,-5,-1,-1,136,1655,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
215,Opal,80,-80,6,0x12020107,152,2,-1,-1,-1,-1,-50,-1,10001,155,1355,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
216,Nexus Outpost,0,0,24,0x20001411,235,0,-1,-1,-1,-1,-50,-1,-1,156,1244,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
217,P-4812,0,0,14,0x20001221,205,0,-1,-1,-1,134,0,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
218,Pirate's Cove,-100,-100,24,0x0000005D,205,3,200,400,500,130,10,-1,-1,156,1324,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
219,Astrodyne Outpost,0,0,25,0x12201031,206,0,-1,-1,-1,-1,-32000,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
220,P-6564,0,0,16,0x41000021,208,0,-1,-1,-1,134,0,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
221,Ruby,-70,-90,33,0x42202045,208,3,300,400,500,128,10,-1,-1,137,32765,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
222,Listening Post 94,0,0,24,0x02100031,232,0,-1,-1,-1,-1,-50,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
223,Listening Post 95,0,0,24,0x02002131,226,0,-1,-1,-1,-1,-50,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
224,P-1896,0,0,21,0x04401021,229,0,-1,-1,-1,134,0,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
225,Privateer's Haven,-80,-80,24,0x0044005D,229,1,5,400,597,130,10,-1,-1,156,1605,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
226,P-0805,0,0,22,0x10012421,213,0,-1,-1,-1,134,0,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
227,P-2143,0,0,19,0x00100421,214,0,-1,-1,-1,134,0,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
228,P-0595,0,0,22,0x10011200,218,0,-1,-1,-1,134,0,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
229,Evildrome,-105,-105,31,0x0000004D,218,5,200,300,400,130,10,-1,-1,156,1655,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
230,P-1249,0,0,13,0x01044021,219,0,-1,-1,-1,134,0,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
231,P-8724,0,0,10,0x00000021,221,0,-1,-1,-1,134,0,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
232,P-1027,0,0,19,0x40100021,223,0,-1,-1,-1,134,0,-1,-1,128,0,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
233,New Antigua,-100,-120,32,0x0000004D,223,1,5,400,500,130,10,-1,-1,156,1284,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
234,Liberty Station,0,0,25,0x40140411,230,0,-1,-1,-1,-1,-50,-1,-1,155,1324,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
