ID,Name,Link System,Govt,AI Type,Aggression,Coward,Ship Type,Weapon 1,Weapon 2,Weapon 3,Weapon 4,Weap 1 Count,Weap 2 Count,Weap 3 Count,Weap 4 Count,Weap 1 Ammo,Weap 2 Ammo,Weap 3 Ammo,Weap 4 Ammo,Credits,Shield Mod,Hail Pict,Comm Quote,Hail Quote,Link Mission,Flags 1,ActiveOn,Grant Class,Grant Count,Grant Prob,Subtitle,Paint Color,Flags 2
153,R.S.S. Defiant,25000,129,3,4,1,142,137,-1,-1,-1,0,0,0,0,2,0,0,0,0,150,-1,-1,6,-1,0x000C,,0,0,0,,0x00000000,0x0000
154,R.S.S. Victory,25000,129,3,4,1,142,137,-1,-1,-1,0,0,0,0,2,0,0,0,0,150,-1,-1,6,-1,0x000C,,0,0,0,,0x00000000,0x0000
155,R.S.S. Republic,25000,129,3,4,1,142,137,-1,-1,-1,0,0,0,0,2,0,0,0,0,150,-1,-1,5,-1,0x000C,,0,0,0,,0x00000000,0x0000
156,R.S.S. Challenger,25000,129,3,4,1,142,137,-1,-1,-1,0,0,0,0,2,0,0,0,0,150,-1,-1,6,-1,0x000C,,0,0,0,,0x00000000,0x0000
157,R.S.S. Relentless,25000,129,3,4,1,142,137,-1,-1,-1,0,0,0,0,2,0,0,0,0,150,-1,-1,5,-1,0x000C,,0,0,0,,0x00000000,0x0000
158,R.S.S. Sovereign,25000,129,3,4,1,142,137,-1,-1,-1,0,0,0,0,2,0,0,0,0,150,-1,-1,6,-1,0x000C,,0,0,0,,0x00000000,0x0000
159,R.S.S. Fearless,25000,129,3,4,1,142,137,-1,-1,-1,0,0,0,0,2,0,0,0,0,150,-1,-1,5,-1,0x000C,,0,0,0,,0x00000000,0x0000
160,R.S.S. Striker,25000,129,3,4,1,141,135,-1,-1,-1,4,0,0,0,0,0,0,0,0,150,-1,5,6,-1,0x000C,,0,0,0,,0x00000000,0x0000
161,R.S.S. Phantom,25000,129,3,4,1,141,135,-1,-1,-1,4,0,0,0,0,0,0,0,0,150,-1,-1,5,-1,0x000C,,0,0,0,,0x00000000,0x0000
162,R.S.S. Swiftsure,25000,129,3,4,1,141,135,-1,-1,-1,4,0,0,0,0,0,0,0,0,150,-1,5,6,-1,0x000C,,0,0,0,,0x00000000,0x0000
163,R.S.S. Coventry,25000,129,3,4,1,141,135,-1,-1,-1,4,0,0,0,0,0,0,0,0,150,-1,-1,5,-1,0x000C,,0,0,0,,0x00000000,0x0000
164,R.S.S. Scimitar,25000,129,3,4,1,141,135,-1,-1,-1,4,0,0,0,0,0,0,0,0,150,-1,5,6,-1,0x000C,,0,0,0,,0x00000000,0x0000
165,R.S.S. Hood,25000,129,3,4,1,141,135,-1,-1,-1,4,0,0,0,0,0,0,0,0,150,-1,-1,5,-1,0x000C,,0,0,0,,0x00000000,0x0000
166,R.S.S. Valiant,25000,129,3,4,1,141,135,-1,-1,-1,4,0,0,0,0,0,0,0,0,150,-1,5,6,-1,0x000C,,0,0,0,,0x00000000,0x0000
167,R.S.S. Bounty,25000,129,3,4,1,141,135,-1,-1,-1,4,0,0,0,0,0,0,0,0,150,-1,-1,5,-1,0x000C,,0,0,0,,0x00000000,0x0000
168,R.S.S. Eagle,25000,129,3,4,1,141,135,-1,-1,-1,4,0,0,0,0,0,0,0,0,150,-1,5,6,-1,0x000C,,0,0,0,,0x00000000,0x0000
169,R.S.S. Wasp,25000,129,3,4,1,141,135,-1,-1,-1,4,0,0,0,0,0,0,0,0,150,-1,-1,5,-1,0x000C,,0,0,0,,0x00000000,0x0000
170,R.S.S. Insurgent,25000,129,3,4,1,141,135,-1,-1,-1,4,0,0,0,0,0,0,0,0,150,-1,5,6,-1,0x000C,,0,0,0,,0x00000000,0x0000
171,R.S.S. Courageous,25000,129,3,4,1,141,135,-1,-1,-1,4,0,0,0,0,0,0,0,0,150,-1,-1,5,-1,0x000C,,0,0,0,,0x00000000,0x0000
172,R.S.S. Vigilant,25000,129,3,4,1,141,135,-1,-1,-1,4,0,0,0,0,0,0,0,0,150,-1,5,5,-1,0x000C,,0,0,0,,0x00000000,0x0000
173,R.S.S. Phoenix,25000,129,3,4,1,141,135,-1,-1,-1,4,0,0,0,0,0,0,0,0,150,-1,-1,6,-1,0x000C,,0,0,0,,0x00000000,0x0000
174,R.S.S. Reprisal,25000,129,3,4,1,141,135,-1,-1,-1,4,0,0,0,0,0,0,0,0,150,-1,5,5,-1,0x000C,,0,0,0,,0x00000000,0x0000
175,Vermooten The Evil,20000,130,3,4,75,137,131,128,130,-1,1,-4,4,0,4,0,0,0,100000,150,-1,-1,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
176,Nostromo,20000,130,3,4,25,143,138,-1,-1,-1,0,0,0,0,1,0,0,0,250000,150,-1,1,7,-1,0x0013,,0,0,0,,0x00000000,0x0000
177,Jolly Roger,20000,130,3,4,25,143,138,-1,-1,-1,0,0,0,0,1,0,0,0,250000,150,-1,2,8,-1,0x0013,,0,0,0,,0x00000000,0x0000
178,Anaconda,20000,130,3,4,25,143,138,-1,-1,-1,0,0,0,0,1,0,0,0,250000,150,-1,3,9,-1,0x0013,,0,0,0,,0x00000000,0x0000
179,Star Vixen,20000,130,3,4,25,143,138,-1,-1,-1,0,0,0,0,1,0,0,0,250000,150,-1,1,7,-1,0x0013,,0,0,0,,0x00000000,0x0000
180,Arvid Fusin,-1,136,3,4,10,132,130,132,-1,-1,4,1,-1,-1,0,4,-1,-1,15000,120,-1,-1,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
181,Brek Veronar,-1,136,3,4,10,132,130,132,-1,-1,4,1,-1,-1,0,4,-1,-1,15000,120,-1,-1,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
182,Gorro Panavia,-1,136,3,4,10,132,130,132,-1,-1,4,1,-1,-1,0,4,-1,-1,15000,120,-1,-1,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
183,"""Cajun"" David Richard",-1,136,3,4,10,132,130,132,146,-1,4,1,1,-1,0,4,2,-1,25000,120,-1,9,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
184,Andrew Welch,-1,136,3,4,10,140,134,131,132,141,4,2,2,1,-1,50,50,999,250000,1000,-1,7,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
185,John Gauch,-1,136,3,4,10,132,130,132,146,-1,4,1,1,-1,0,4,2,-1,25000,120,-1,-1,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
186,Gayle Haarr,-1,136,3,4,10,132,130,132,146,-1,4,1,1,-1,0,4,2,-1,25000,120,-1,10,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
187,Gregor Misovich,-1,136,3,4,10,132,130,132,-1,-1,4,1,-1,-1,0,4,-1,-1,15000,120,-1,-1,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
188,Dravar Wedef,-1,136,3,4,10,132,130,132,-1,-1,4,1,-1,-1,0,4,-1,-1,15000,120,-1,-1,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
189,Milack Talia,-1,136,3,4,10,132,130,132,-1,-1,4,1,-1,-1,0,4,-1,-1,15000,120,-1,-1,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
190,Jason Jones,-1,136,3,4,10,132,130,132,-1,-1,4,1,-1,-1,0,4,-1,-1,15000,120,-1,-1,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
191,Jeff Henken,-1,136,3,4,10,132,130,132,-1,-1,4,1,-1,-1,0,4,-1,-1,15000,126,-1,13,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
192,Raef LaFrentz,-1,136,3,4,10,132,130,132,-1,-1,4,1,-1,-1,0,4,-1,-1,15000,120,-1,-1,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
193,Jacque Vaughn,-1,136,3,4,10,132,130,132,-1,-1,4,1,-1,-1,0,4,-1,-1,15000,120,-1,-1,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
194,S.S. Goldstar,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,1,-1,0x808B,,0,0,0,,0x00000000,0x0000
195,S.S. Wanderer,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,2,-1,0x808B,,0,0,0,,0x00000000,0x0000
196,S.S. Colombus,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,2,-1,0x808B,,0,0,0,,0x00000000,0x0000
197,S.S. Vespucci,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,1,-1,0x808B,,0,0,0,,0x00000000,0x0000
198,S.S. De Gama,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,2,-1,0x808B,,0,0,0,,0x00000000,0x0000
199,S.S. Magellan,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,1,-1,0x808B,,0,0,0,,0x00000000,0x0000
200,S.S. Sparrow,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,2,-1,0x808B,,0,0,0,,0x00000000,0x0000
201,S.S. Cabot,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,1,-1,0x808B,,0,0,0,,0x00000000,0x0000
202,S.S. Drake,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,2,-1,0x808B,,0,0,0,,0x00000000,0x0000
203,S.S. Cook,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,1,-1,0x808B,,0,0,0,,0x00000000,0x0000
204,S.S. Coronado,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,2,-1,0x808B,,0,0,0,,0x00000000,0x0000
205,S.S. Cortez,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,1,-1,0x808B,,0,0,0,,0x00000000,0x0000
206,S.S. Pizarro,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,2,-1,0x808B,,0,0,0,,0x00000000,0x0000
207,S.S. Velasquez,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,1,-1,0x808B,,0,0,0,,0x00000000,0x0000
208,S.S. Hawking,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,2,-1,0x808B,,0,0,0,,0x00000000,0x0000
209,S.S. Grissom,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,1,-1,0x808B,,0,0,0,,0x00000000,0x0000
210,S.S. Kepler,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,2,-1,0x808B,,0,0,0,,0x00000000,0x0000
211,S.S. Burgstahler,-1,136,1,4,10,129,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,3000,1,-1,12,1,-1,0x808B,,0,0,0,,0x00000000,0x0000
212,S.S. Oppenheimer,-1,136,1,4,10,129,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,3000,1,-1,-1,2,-1,0x808B,,0,0,0,,0x00000000,0x0000
213,S.S. Tycho Brahe,-1,136,1,4,10,129,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,3000,1,-1,-1,1,-1,0x808B,,0,0,0,,0x00000000,0x0000
214,S.S. Lovell,-1,136,1,4,10,129,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,3000,1,-1,-1,2,-1,0x808B,,0,0,0,,0x00000000,0x0000
215,S.S. Jericho,-1,136,1,4,10,129,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,3000,1,-1,-1,1,-1,0x808B,,0,0,0,,0x00000000,0x0000
216,S.S. Weber,-1,136,1,4,10,129,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,3000,1,-1,-1,2,-1,0x808B,,0,0,0,,0x00000000,0x0000
217,S.S. Bozeman,-1,136,1,4,10,129,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,3000,1,-1,-1,1,-1,0x808B,,0,0,0,,0x00000000,0x0000
218,S.S. Nomad,-1,136,1,4,10,129,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,3000,1,-1,-1,2,-1,0x808B,,0,0,0,,0x00000000,0x0000
219,Matt Burch,-1,136,3,1,1,143,133,130,139,138,-2,-4,8,1,0,0,8000,4,42000000,10000,-1,11,23,-1,0x0013,,0,0,0,,0x00000000,0x0000
220,Zeus Faber,20000,-1,3,4,10,143,138,-1,-1,-1,0,0,0,0,1,0,0,0,250000,150,-1,4,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
221,Hawkeye,20000,-1,3,4,10,143,138,-1,-1,-1,0,0,0,0,1,0,0,0,250000,150,-1,4,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
222,Skipjack,20000,-1,3,4,10,143,138,-1,-1,-1,0,0,0,0,1,0,0,0,250000,150,-1,4,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
223,Ruby Fulcrum,20000,-1,3,4,10,143,138,-1,-1,-1,0,0,0,0,1,0,0,0,250000,150,-1,4,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
224,Space Derelict,20000,141,1,0,0,132,-1,-1,-1,-1,0,0,0,0,0,0,0,0,25000,100,-1,-1,-1,-1,0x0000,,0,0,0,,0x00000000,0x0000
225,Space Derelict,20000,141,1,0,0,132,-1,-1,-1,-1,0,0,0,0,0,0,0,0,25000,100,-1,-1,-1,-1,0x0000,,0,0,0,,0x00000000,0x0000
226,Space Derelict,20000,141,1,0,0,132,-1,-1,-1,-1,0,0,0,0,0,0,0,0,25000,100,-1,-1,-1,-1,0x0000,,0,0,0,,0x00000000,0x0000
227,Space Derelict,20000,141,1,0,0,146,-1,-1,-1,-1,0,0,0,0,0,0,0,0,25000,100,-1,-1,-1,-1,0x0000,,0,0,0,,0x00000000,0x0000
228,Space Derelict,20000,141,1,0,0,129,-1,-1,-1,-1,0,0,0,0,0,0,0,0,25000,100,-1,-1,-1,-1,0x0000,,0,0,0,,0x00000000,0x0000
229,Space Derelict,20000,141,1,0,0,129,-1,-1,-1,-1,0,0,0,0,0,0,0,0,25000,100,-1,-1,-1,-1,0x0000,,0,0,0,,0x00000000,0x0000
230,Space Derelict,20000,141,1,0,0,131,-1,-1,-1,-1,0,0,0,0,0,0,0,0,25000,100,-1,-1,-1,-1,0x0000,,0,0,0,,0x00000000,0x0000
231,Space Derelict,20000,141,1,0,0,131,-1,-1,-1,-1,0,0,0,0,0,0,0,0,25000,100,-1,-1,-1,-1,0x0000,,0,0,0,,0x00000000,0x0000
232,Space Derelict,20000,141,1,0,0,131,-1,-1,-1,-1,0,0,0,0,0,0,0,0,25000,100,-1,-1,-1,-1,0x0000,,0,0,0,,0x00000000,0x0000
233,Space Derelict,20000,141,1,0,0,143,-1,-1,-1,-1,0,0,0,0,0,0,0,0,25000,100,-1,-1,-1,-1,0x0000,,0,0,0,,0x00000000,0x0000
234,U.S.S. Chimera,25001,128,3,2,30,134,145,142,-1,-1,1,1,0,0,2,0,0,0,0,125,42,-1,10,-1,0x0011,,0,0,0,,0x00000000,0x0000
235,U.S.S. Devastator,25001,128,3,2,30,134,145,142,-1,-1,1,1,0,0,2,0,0,0,0,125,42,-1,11,-1,0x0011,,0,0,0,,0x00000000,0x0000
236,U.S.S. Executor,25001,128,3,2,30,134,145,142,-1,-1,1,1,0,0,2,0,0,0,0,125,42,-1,10,-1,0x0011,,0,0,0,,0x00000000,0x0000
237,U.S.S. Reaper,25001,128,3,2,30,134,145,142,-1,-1,1,1,0,0,2,0,0,0,0,125,42,-1,11,-1,0x0011,,0,0,0,,0x00000000,0x0000
238,U.S.S. Agamemnon,25001,128,3,2,30,134,145,142,-1,-1,1,1,0,0,2,0,0,0,0,125,42,-1,10,-1,0x0011,,0,0,0,,0x00000000,0x0000
239,U.S.S. Inquisitor,25001,128,3,2,30,134,145,142,-1,-1,1,1,0,0,2,0,0,0,0,125,42,-1,11,-1,0x0011,,0,0,0,,0x00000000,0x0000
240,U.S.S. Alexander,25001,128,3,2,30,134,145,142,-1,-1,1,1,0,0,2,0,0,0,0,125,42,-1,10,-1,0x0011,,0,0,0,,0x00000000,0x0000
241,U.S.S. Dominator,25001,128,3,2,30,134,145,142,-1,-1,1,1,0,0,2,0,0,0,0,125,42,-1,11,-1,0x0011,,0,0,0,,0x00000000,0x0000
242,Piper Maru,20000,141,1,0,0,132,-1,-1,-1,-1,0,0,0,0,0,0,0,0,25000,100,-1,-1,12,195,0x0320,,0,0,0,,0x00000000,0x0000
243,Empress Stardust,20000,141,1,0,0,132,-1,-1,-1,-1,0,0,0,0,0,0,0,0,25000,100,-1,-1,13,196,0x0320,,0,0,0,,0x00000000,0x0000
244,S.S. Tamerlane,20000,141,1,0,0,129,-1,-1,-1,-1,0,0,0,0,0,0,0,0,25000,100,-1,-1,14,195,0x03A0,,0,0,0,,0x00000000,0x0000
245,S.S. McCollum,20000,141,1,0,0,129,-1,-1,-1,-1,0,0,0,0,0,0,0,0,25000,100,-1,-1,15,196,0x03A0,,0,0,0,,0x00000000,0x0000
246,S.S. Clayton,20000,141,1,0,0,131,-1,-1,-1,-1,0,0,0,0,0,0,0,0,25000,100,-1,-1,16,195,0x03A0,,0,0,0,,0x00000000,0x0000
247,S.S. Forrester,20000,141,1,0,0,131,-1,-1,-1,-1,0,0,0,0,0,0,0,0,25000,100,-1,-1,17,196,0x03A0,,0,0,0,,0x00000000,0x0000
248,S.S. Darius,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,18,197,0x4C8B,,0,0,0,,0x00000000,0x0000
249,S.S. Xeres,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,18,197,0x4C8B,,0,0,0,,0x00000000,0x0000
250,S.S. Molock,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,18,197,0x4C8B,,0,0,0,,0x00000000,0x0000
251,S.S. Hathor,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,18,197,0x4C8B,,0,0,0,,0x00000000,0x0000
252,S.S. Bradley,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,18,197,0x4C8B,,0,0,0,,0x00000000,0x0000
253,S.S. Cochrane,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,18,197,0x4C8B,,0,0,0,,0x00000000,0x0000
254,S.S. Lysander,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,18,197,0x4C8B,,0,0,0,,0x00000000,0x0000
255,S.S. Eichman,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,18,197,0x4C8B,,0,0,0,,0x00000000,0x0000
256,S.S. Claxton,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,18,197,0x4C8B,,0,0,0,,0x00000000,0x0000
257,S.S. Bowie,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,18,197,0x4C8B,,0,0,0,,0x00000000,0x0000
258,S.S. Laurel,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,19,198,0x4C8B,,0,0,0,,0x00000000,0x0000
259,S.S. Turkana,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,19,198,0x4C8B,,0,0,0,,0x00000000,0x0000
260,S.S. Socorro,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,19,198,0x4C8B,,0,0,0,,0x00000000,0x0000
261,S.S. Ashanti,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,19,198,0x4C8B,,0,0,0,,0x00000000,0x0000
262,S.S. Houston,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,19,198,0x4C8B,,0,0,0,,0x00000000,0x0000
263,S.S. Wilder,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,19,198,0x4C8B,,0,0,0,,0x00000000,0x0000
264,S.S. Beagle,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,19,198,0x4C8B,,0,0,0,,0x00000000,0x0000
265,S.S. Boyd,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,19,198,0x4C8B,,0,0,0,,0x00000000,0x0000
266,S.S. Gillian,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,19,198,0x4C8B,,0,0,0,,0x00000000,0x0000
267,S.S. Anderson,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,19,198,0x4C8B,,0,0,0,,0x00000000,0x0000
268,S.S. Duchovny,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,19,198,0x4C8B,,0,0,0,,0x00000000,0x0000
269,S.S. Sharpley,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,19,198,0x4C8B,,0,0,0,,0x00000000,0x0000
270,S.S. Douglas,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,19,198,0x4C8B,,0,0,0,,0x00000000,0x0000
271,S.S. Merritt,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,19,198,0x4C8B,,0,0,0,,0x00000000,0x0000
272,S.S. Barclay,-1,136,1,4,10,129,133,134,-1,-1,-1,1,-1,-1,0,0,-1,-1,3000,120,-1,-1,19,198,0x4C8B,,0,0,0,,0x00000000,0x0000
