ID,Name,Cargo Capacity,Shields,Acceleration,Speed,Turn Rate,Fuel,Free Space,Armor,Shield Recharge,Weapon 1,Weapon 2,Weapon 3,Weapon 4,Weap 1 Count,Weap 2 Count,Weap 3 Count,Weap 4 Count,Weap 1 Ammo,Weap 2 Ammo,Weap 3 Ammo,Weap 4 Ammo,Max Guns,Max Turrets,Tech Level,Cost,Death Delay,Armor Regen,Explode 1,Explode 2,Display Weight,Mass,Length,AI Type,Crew,Strength,Govt,Flags,Pod Count,Outfit 1,Outfit 2,Outfit 3,Outfit 4,Outf 1 Count,Outf 2 Count,Outf 3 Count,Outf 4 Count,Fuel Regen,Skill Variance,Flags 2,Contribute,Availability,AppearOn,OnPurchase,Deionize,Max Ionize,Key Carried,Outift 5,Outift 6,Outift 7,Outift 8,Outf 5 Count,Outf 6 Count,Outf 7 Count,Outf 8 Count,Require,Buy Random,Hire Random,OnCapture,OnRetire,Shipyard Name,Comm Name,Long Name,Movie File,Weapon 5,Weapon 6,Weapon 7,Weapon 8,Weap 5 Count,Weap 6 Count,Weap 7 Count,Weap 8 Count,Weap 5 Ammo,Weap 6 Ammo,Weap 7 Ammo,Weap 8 Ammo,Subtitle,Flags 4,Escort Upgrade,Upgrade Cost,Sell Value,Escort Type
138,Defender,1,100,750,500,6,300,5,0,9,128,0,0,0,3,0,0,0,0,0,0,0,3,0,2,100000,30,0,0,0,0,9,8,3,1,-1,-1,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
139,Executive Transport,10,100,310,300,3,300,10,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90000,45,0,0,0,0,35,10,1,2,67,-1,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
140,Luxury Liner,20,300,185,150,1,400,30,200,180,133,0,0,0,1,0,0,0,0,0,0,0,0,2,9999,1000000,120,11,9,11,9,300,180,1,65,-1,-1,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
141,Rebel Destroyer,30,2000,560,300,3,400,80,500,100,134,139,131,132,2,1,2,2,0,6,12,10,5,4,5000,2800000,120,6,0,-6,0,240,52,3,115,61,129,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
142,Rebel Cruiser,60,5000,280,200,2,500,120,800,180,134,139,132,137,3,1,2,1,0,8,20,4,7,4,5000,14000000,180,19,0,9,-9,850,280,3,527,61,129,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
143,Kestrel,80,1300,375,225,3,500,120,500,120,131,134,132,138,1,2,2,1,4,0,10,2,6,3,5,10000000,120,12,-11,-1,-11,230,80,3,196,-1,-1,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
144,Manta,3,200,625,425,6,200,5,0,18,144,0,132,0,3,0,1,0,0,0,2,0,4,0,5000,180000,45,0,0,0,0,9,8,3,1,61,129,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
145,Scoutship,40,300,375,275,4,900,35,50,36,128,-1,-1,-1,2,0,0,0,0,0,0,0,4,0,1,80000,50,0,0,0,0,50,18,2,2,-1,-1,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
146,Corvette,60,700,405,300,3,400,50,300,80,141,133,132,139,1,2,2,1,60,0,8,4,5,2,4,2500000,90,6,-3,6,-3,135,30,3,37,-1,-1,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
147,Confed Gunboat,5,200,435,250,3,300,5,50,24,128,132,139,0,2,1,1,0,0,4,2,0,3,0,5001,900000,55,0,0,0,0,15,12,3,2,66,128,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
148,Hawk,3,230,560,350,5,100,10,0,18,128,132,0,0,4,1,0,0,0,2,0,0,4,0,9999,0,45,0,0,0,0,10,9,3,1,-1,-1,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
149,Alien Fighter,10,5000,900,500,6,1000,10,0,24,147,148,0,0,1,1,0,0,0,2,0,0,8,0,9999,0,60,0,0,0,0,18,15,3,8,-1,140,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
150,Alien Cruiser,50,-3000,600,350,2,20000,60,0,240,151,152,148,-1,1,1,4,0,3,0,80,0,12,4,9999,0,512,10,-7,1,0,600,120,3,650,-1,140,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
151,Clipper,35,300,280,300,3,400,25,200,30,130,141,0,0,3,1,0,0,0,25,0,0,4,1,3,400000,55,4,-4,4,-4,85,18,2,6,-1,-1,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
152,Kestrel,80,1050,375,225,3,500,120,500,120,131,134,132,138,1,2,2,1,4,0,6,0,6,3,250,7500000,120,12,-11,-1,-11,230,80,3,196,73,-1,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
153,Escort Carrier,20,850,150,115,1,1000,10,500,100,134,137,-1,-1,2,1,0,0,0,4,0,0,0,2,9999,5000000,120,28,-20,28,-20,800,250,3,95,-1,129,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
191,Escape Pod,0,0,300,300,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,2,0,9999,0,10,0,0,0,0,1,2,1,1,-1,-1,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
