ID,Name,x,y,link1,link2,link3,link4,link5,spob1,spob2,spob3,spob4,dude1,dude2,dude3,dude4,dudeProb1,dudeProb2,dudeProb3,dudeProb4,avgShips,govt,message,roids,interference,visbit
175,Adhara,35,100,147,210,-1,-1,-1,200,201,-1,-1,133,130,129,134,60,30,10,10,3,129,-1,0,0,-1
176,El Santo,-56,91,166,171,209,184,-1,151,-1,-1,-1,133,130,129,134,60,30,10,10,4,129,-1,0,0,-1
177,Alkaid,-76,-71,168,187,-1,-1,-1,162,163,-1,-1,133,130,129,134,60,30,10,10,5,129,-1,0,0,-1
178,Cygnus,0,-98,169,227,-1,-1,-1,194,-1,-1,-1,133,130,129,134,60,30,10,10,1,129,-1,0,0,-1
179,Torgo,128,-32,180,-1,-1,-1,-1,142,-1,-1,-1,133,134,129,130,50,10,20,20,5,-1,-1,0,60,-1
180,Manos,106,-44,179,157,-1,-1,-1,141,-1,-1,-1,133,134,129,130,50,10,20,20,4,-1,-1,0,0,-1
181,Gamera,-110,37,182,183,172,161,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,5,-1,-1,2,0,-1
182,Guiron,-129,18,181,-1,-1,-1,-1,197,-1,-1,-1,133,130,129,134,60,30,10,10,4,129,-1,0,0,-1
183,Zigra,-125,57,181,-1,-1,-1,-1,198,-1,-1,-1,133,130,129,134,60,30,10,10,3,129,-1,0,0,-1
184,Osiris,-90,91,190,208,176,-1,-1,204,205,-1,-1,133,130,129,134,60,30,10,10,3,129,-1,0,0,-1
185,Perseus,-108,0,167,161,-1,-1,-1,189,190,-1,-1,133,134,129,130,50,10,20,20,3,-1,-1,0,0,-1
186,Scorpio,97,65,148,212,-1,-1,-1,211,-1,-1,-1,133,130,129,134,60,30,10,10,3,129,-1,2,0,-1
187,Persephone,-48,-100,177,169,196,199,-1,180,181,-1,-1,133,130,129,134,60,30,10,10,2,129,-1,0,0,-1
188,Orion,-98,-37,191,162,202,-1,-1,169,170,-1,-1,133,130,129,134,60,30,10,10,3,129,-1,0,0,-1
189,Apollo,85,-66,164,220,-1,-1,-1,179,-1,-1,-1,133,130,129,134,60,30,10,10,5,129,-1,4,0,-1
190,Olympus,-98,72,184,172,206,207,-1,202,203,-1,-1,133,130,129,134,60,30,10,10,2,-1,-1,0,0,-1
191,Atropos,-118,-18,188,167,203,-1,-1,171,-1,-1,-1,133,130,129,134,60,30,10,10,3,129,-1,0,0,-1
192,Clotho,-101,-58,162,196,201,-1,-1,167,168,-1,-1,130,130,130,130,25,25,25,25,3,129,-1,0,0,-1
193,Lethe,76,95,158,147,211,-1,-1,214,-1,-1,-1,133,135,136,134,20,30,40,20,2,132,-1,0,0,-1
194,Virgo,121,16,170,195,216,-1,-1,208,-1,-1,-1,133,130,129,134,60,30,10,10,3,129,-1,0,35,-1
195,Topaz,120,-7,157,194,217,235,-1,206,207,-1,-1,133,130,129,134,60,30,10,10,3,129,-1,3,60,-1
196,Satori,-84,-94,192,187,200,-1,-1,161,-1,-1,-1,133,130,138,134,60,5,30,5,3,129,-1,0,0,-1
197,Procyon,18,24,132,131,140,-1,-1,152,-1,-1,-1,128,129,137,139,60,40,10,10,2,128,-1,2,0,-1
198,Gymkata,72,-87,164,222,-1,-1,-1,153,-1,-1,-1,133,134,129,130,50,10,20,20,4,-1,-1,0,0,-1
199,NGC-2468,-68,-122,187,-1,-1,-1,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,1,-1,-1,4,0,-1
200,THX-1138,-106,-104,196,-1,-1,-1,-1,157,-1,-1,-1,133,134,129,130,50,10,20,20,3,-1,-1,0,0,-1
201,NGC-5638,-119,-71,192,-1,-1,-1,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,3,-1,-1,0,0,-1
202,NGC-8457,-137,-44,188,-1,-1,-1,-1,158,-1,-1,-1,133,134,129,130,50,10,20,20,2,-1,-1,0,0,-1
203,NGC-6484,-151,-9,191,231,-1,-1,-1,-1,-1,-1,-1,133,134,129,130,50,50,0,0,1,-1,-1,0,0,-1
204,NGC-1592,-170,33,205,231,-1,-1,-1,-1,-1,-1,-1,133,134,129,130,50,40,5,5,5,-1,-1,0,0,-1
205,NGC-4812,-151,46,204,-1,-1,-1,-1,217,218,-1,-1,133,134,134,134,55,15,15,15,3,130,-1,3,0,-1
206,NGC-0551,-136,79,190,-1,-1,-1,-1,219,-1,-1,-1,133,134,129,130,50,10,20,20,3,-1,-1,0,0,-1
207,NGC-1325,-122,103,190,-1,-1,-1,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,3,-1,-1,0,0,-1
208,NGC-6564,-75,112,184,-1,-1,-1,-1,220,221,-1,-1,129,129,129,129,25,25,25,25,3,128,1,4,0,-1
209,NGC-9758,-31,121,232,173,176,-1,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,3,-1,-1,10,0,-1
210,NGC-0630,16,115,230,175,173,-1,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,2,-1,-1,10,0,-1
211,NGC-8113,71,114,229,193,-1,-1,-1,-1,-1,-1,-1,133,134,129,130,50,40,5,5,5,-1,-1,0,0,-1
212,NGC-0317,114,100,186,-1,-1,-1,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,3,-1,-1,2,0,-1
213,NGC-0805,122,80,214,-1,-1,-1,-1,226,-1,-1,-1,133,134,129,130,50,10,20,20,1,-1,-1,0,0,-1
214,NGC-2143,143,60,213,228,-1,-1,-1,227,-1,-1,-1,133,134,129,130,50,10,20,20,1,-1,-1,0,0,-1
215,NGC-5528,135,36,228,-1,-1,-1,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,4,-1,-1,0,0,-1
216,NGC-1357,150,9,194,-1,-1,-1,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,4,-1,-1,0,70,-1
217,NGC-9846,146,-19,195,-1,-1,-1,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,1,-1,-1,5,90,-1
218,NGC-0595,160,-38,219,-1,-1,-1,-1,228,229,-1,-1,133,134,134,134,55,15,15,15,3,130,-1,5,85,-1
219,NGC-1249,133,-50,218,220,-1,-1,-1,230,-1,-1,-1,133,134,129,130,50,40,5,5,2,-1,-1,0,65,-1
220,NGC-7665,124,-69,219,189,221,-1,-1,-1,-1,-1,-1,133,134,129,130,50,40,5,5,5,-1,-1,3,60,-1
221,NGC-8724,160,-60,220,-1,-1,-1,-1,231,-1,-1,-1,133,134,129,130,50,10,20,20,3,-1,-1,0,55,-1
222,NGC-6849,87,-105,198,-1,-1,-1,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,1,-1,-1,0,0,-1
223,NGC-1027,65,-121,224,-1,-1,-1,-1,232,233,-1,-1,133,134,134,134,55,15,15,15,4,130,-1,6,0,-1
224,NGC-5465,31,-111,225,174,223,-1,-1,-1,-1,-1,-1,133,134,129,130,50,40,5,5,4,-1,-1,8,0,-1
225,NGC-9517,18,-130,224,226,-1,-1,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,1,-1,-1,0,0,-1
226,NGC-6548,-1,-144,225,-1,-1,-1,-1,223,-1,-1,-1,133,134,129,130,50,10,20,20,3,-1,-1,0,0,-1
227,NGC-1023,-19,-120,178,233,-1,-1,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,2,-1,-1,5,0,-1
228,NGC-6762,114,49,214,215,170,-1,-1,-1,-1,-1,-1,133,134,129,130,50,40,5,5,4,-1,-1,4,0,-1
229,NGC-1896,54,130,211,234,-1,-1,-1,224,225,-1,-1,133,134,134,134,55,15,15,15,3,130,-1,7,0,-1
230,NGC-1776,7,141,210,-1,-1,-1,-1,234,-1,-1,-1,133,134,129,130,80,10,5,5,5,-1,-1,10,0,-1
231,NGC-1718,-171,8,203,204,-1,-1,-1,-1,-1,-1,-1,133,134,129,130,50,40,5,5,3,-1,-1,7,0,-1
232,NGC-1091,-25,148,209,-1,-1,-1,-1,222,-1,-1,-1,133,134,129,130,50,10,20,20,5,-1,-1,10,0,-1
233,NGC-1701,-38,-138,227,-1,-1,-1,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,2,-1,-1,0,0,-1
234,NGC-4561,66,155,229,-1,-1,-1,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,3,-1,-1,8,0,-1
235,Nexus,82,-15,157,152,163,195,-1,216,-1,-1,-1,133,134,129,130,50,10,20,20,3,-1,-1,0,10,-1
