ID,Name,Description,Graphic,Movie Filename,Flags
172,,Propus VII,-1,,0x0000
173,,"New Scotland’s motto is “It’s Our Bloody Moon, We Can Play The Bagpipes And Eat Haggis All We Want!”",-1,,0x0000
174,,"New Scotland’s sister moon, New Ireland, was terraformed during the Great Expansion. Now, its capital city of New Belfast is a model of industrial society.",-1,,0x0000
175,,"New France was colonized during the Great Expansion as a center of culture, learning, and enlightenment. Now, it has the highest number of gift shops and burger bars per capita of any known planet.",-1,,0x0000
176,,"Diphidia II is a major exporter of fish and ocean products. Diphidia seaweed, which grows only in Diphidia’s oceans, is renowned for its remarkable strength and durability; no synthetic fiber has yet matched its tensile strength.",-1,,0x0000
177,,New Columbia’s rugged terrain forces its inhabitants to live mostly around the port city of New Seattle. Much of the planet is still unexplored.,-1,,0x0000
178,,"Quake is a world continually shaken by seismic tremors. Anyone who lands here immediately blasts off again and heads for Opal, Quake’s sister world and a far more calming place. Of course, anyone with any sense at all wouldn’t come to Quake in the first place.",-1,,0x0000
179,,"Armstrong has a large number of shipyards and repair facilities, and the planet also has the most extensive museum of space history in the galaxy.",-1,,0x0000
180,,Persephone IX,-1,,0x0000
181,,"Rupert is a small moon that is home to a colony of religous fanatics, followers of the Order of the Holy Mac.",-1,,0x0000
182,,Darven,-1,,0x0000
183,,"Blackthorne is an extremely dangerous place for a law-abiding citizen to hang out. If you don’t actually get your cargo stolen, you’ll at least get your pocket picked. Still, Blackthorne is the place to come if you’re looking for any of the “special” items available here.",-1,,0x0000
184,,Pollux VI,-1,,0x0000
185,,"New Japan is a peaceful island world, and a well-established colony.",-1,,0x0000
186,,Thanos IV,-1,,0x0000
187,,"The Syntex Refinery makes most of the coolant fluids for the engines of the galaxy’s starships. Crew members on this remote station lead a boring life, and welcome any diversion brought by passing ships.",-1,,0x0000
188,,"Ursa Minor Beta is a luxury world, full of tourists and wealthy citizens. Their membership in the Rebellion is more a matter of location than of political sympathies.",-1,,0x0000
189,,"Perseus II is a hot but pleasant world. Persean Bug Juice is distilled here, and exported to planets across the galaxy.",-1,,0x0000
190,,Pegasus is a small mining and research colony on a moon orbiting Perseus II.,-1,,0x0000
191,,"Sauron is the only inhabited world in this small region of space, as it is convienently located to serve as a refuelling and outfitting base for passing ships.",-1,,0x0000
192,,"Darkstar’s sun, Nemesis, is a massive red giant - a star which has nearly exhausted its supply of nuclear fuel. At night on the planet, the beautiful Serpens Nebula can be seen drifting across the sky. The people of Darkstar are expert metalworkers, able to turn piles of raw sheet metal into a myriad of useful industrial equipment.",-1,,0x0000
193,,"New Bavaria is a lovely planet, and its inhabitants are proud of their Germanic heritage. This is one of the few planets in the galaxy where Galactic Standard is not the first language.",-1,,0x0000
194,,"Many species of animals, both Terran and alien, range free on Palomino’s open grasslands. Part of the planet is a huge nature preserve, and part is a vast breeding ground and stable for work animals, which are still useful on many worlds.",-1,,0x0000
195,,Tiber II,-1,,0x0000
196,,Port Oread is a stopover point for passing freighters of many governments and corporations.,-1,,0x0000
197,,"The religion of the people of Akio is most peculiar - they believe that, some day, a giant turtle will descend from the heavens and deliver them from evil.",-1,,0x0000
198,,"Lauralee is a beautiful world, with many exotic plant and animal species visible from the spaceport windows.",-1,,0x0000
199,,"Murphy's World is a planet of terrible luck. Most of the islands on this ocean world are of volcanic origin, with many still active.  Forecasting the frequent eruptions is a huge task, and many people are caught off guard — in the wrong place at the wrong time — when one of the volcanoes unexpectedly erupts.",-1,,0x0000
200,,"Much of the pre-War industry of Adhara was occupied with producing luxury goods for wealthy planets. As a result, the freedom-loving people of Adhara have been able to contribute substantial revenue to the Rebellion’s war efforts.",-1,,0x0000
201,,Sentinel Station used to serve as a base for the patrol ships that escorted bulk freighters full of luxury goods out of the Adhara system - now it functions as the Rebellion’s primary staging platform in this region of space.,-1,,0x0000
202,,Zeus is a large planet with high gravity. Violent thunderstorms jolt the desert bluffs with lightning during Zeus’s monsoon season.,-1,,0x0000
203,,"In sharp contrast with neighboring Zeus, Hera is a lush garden spot. The inhabitants of Hera are extremely involved in nature, and their forestry and conservation skills are legendary. Professional environmentalists and terraformers from Hera are in great demand throughout the galaxy. ",-1,,0x0000
204,,Osiris II,-1,,0x0000
205,,"Endor is a small moon with low gravity. As a result, the trees that cover this forest world grow to incredible heights.",-1,,0x0000
206,,Topaz II,-1,,0x0000
207,,"Emerald, the third and largest moon of Topaz II, is home to the Emerald buzzbird. These charming birds produce a sound that has a calming effect on humans, and many are exported to other, less relaxed, planets. During Emerald’s spring, however, the inhabitants must stay indoors and refrain from operating heavy machinery, as the sound made by thousands of flocking buzzbirds can put anyone to sleep in an instant.",-1,,0x0000
208,,"Virgo is almost all swamp, so the inhabitants are forced to live in the sparsely-dotted mountain ranges. Virgo’s main export is the Virgo Banderfrog, whose hide is highly valued for its toughness and beauty.",-1,,0x0000
209,,"Sirgil is a major industrial world, dotted with metropolitan cities and manufacturing centers.",-1,,0x0000
210,,"Sirgil Starport is an orbital market, established as a commodity exchange for the products produced by the planet below.",-1,,0x0000
211,,Scorpio has the largest number of crab species in the known galaxy.,-1,,0x0000
212,,"Deneb III is a major agricultural world, specializing in the production of grain and fruit.",-1,,0x0000
213,,"New Cydonia was founded by natives of the Mars Colony, who claimed that Mars was too civilized and terraformed for their tastes. The Aries system is currently at war with its neighboring system, Lethe, over water rights.",-1,,0x0000
214,,Lethe Prime’s fields and forests feed much of this sector. The major exports are vegetables and processed grain products. Lethe is currently at war with New Cydonia over water rights.,-1,,0x0000
215,,"Opal is a tranquil island world, much preferable to neighboring Quake.",-1,,0x0000
216,,Nexus Outpost serves as a monitoring station for traffic passing through the Nexus system.,-1,,0x0000
217,,A strangely-lit and little-understood world.,-1,,0x0000
218,,"Pirate’s Cove is a haven for privateers, bucaneers, brigands, and others from the scum of the galaxy.",-1,,0x0000
219,,"Astrodyne Outpost is an abandoned research base that was once used as a weapons testing facility by the Confederation. When a mysterious accident killed the entire crew of the station, the Confederation covered up the incident and left this station, stripped of all classified material, to drift through space.",-1,,0x0000
220,,"P-6564 is a planet shrouded by a corrosive atmosphere. Better not stay too long, or your ship might melt.",-1,,0x0000
221,,"Ruby is completely red: red ground, red sky, red planet in the background. This moon is a testing ground for many new Confederation weapons.",-1,,0x0000
222,,Listening Post 94 was set up to monitor communications traffic from pirates and suspected rebels.,-1,,0x0000
223,,Listening Post 95 was set up to monitor communications traffic from pirates and suspected rebels.,-1,,0x0000
224,,"A cold, desolate, and unremarkable planet.",-1,,0x0000
225,,A squalid and depressing station that hosts the worst evildoers in the galaxy. Truly a wretched hive of scum and villainy.,-1,,0x0000
226,,A depressingly dark and barren world.,-1,,0x0000
227,,A forbidding world of high winds and little else.,-1,,0x0000
228,,A world choked by a sheath of sulphuric acid.,-1,,0x0000
229,,"Evildrome is a pirate’s favorite stopover, not so much for the wide selection of illegal goods to be found here as for the Evildrome Boozarama, ostensibly the best bar in the galaxy.",-1,,0x0000
230,,"A grim, snowy world.",-1,,0x0000
231,,This planet is an arid wasteland.,-1,,0x0000
232,,This strange-looking planet has some of the oddest plant life in the galaxy.,-1,,0x0000
233,,"New Antigua was founded in the spirit of Earth’s Caribbean islands. Like their predecessors, the islands of New Antigua are home to some of the most evil pirates around.",-1,,0x0000
234,,"Liberty Station was constructed to serve as an ore processing center and a refuelling base for the ships that mine valuable ores from the floating debris of the Trugati asteroid belt, a region of the galaxy thick with spaceborne rocks of all sizes.",-1,,0x0000
2000,,"The Rendelli StarDrive Model 805R cargo shuttle is perhaps the least glamorous, but also the most versatile, of all starships. Its diminutive size and low cost make it popular with the smaller shipping firms and charter services, and it makes a good courier ship as well. Its boxy appearance belies its rugged and durable construction. This sturdy little vessel is found virtually everywhere in the galaxy.",-1,,0x0000
2001,,"Allied Shipyards’ stalwart Model AS129 light freighter has been one of the most popular cargo ships on the market for the last decade. Its speed and maneuverability aren’t the best, and its survivability in combat is questionable, but it can still haul more goods than its closest rival, the CDX Argosy.",-1,,0x0000
2002,,"The Allied Shipyards AS1300 is the best - indeed, the only - bulk freighter available. Their high cost and weak defenses preclude their use in the frontier systems, but further in, these huge ships carry the majority of commerce between the Core Worlds.",-1,,0x0000
2003,,"If you’re looking to get your large cargo to its destination as quickly as possible, look no further than the Metroworks V7 courier. It is essentially nothing more than a triad of large engines with a cargo bay and a life-support pod attached. A testament to this ship’s high speed, long range, and great reliability is the fact that Starbound Express uses them for nearly 95% of its domestic cargo routes.",-1,,0x0000
2004,,"CDX Starworks is a relatively new player in the cargo-ship market, having previously established its reputation building fighters. Its Argosy-class light freighter has already become quite popular with shipping companies operating near the edge of Confederation space, because of its advantages over the AS129 in the areas of speed, maneuverability, and firepower. Its only real liabilities are its higher price and slightly smaller cargo capacity.",-1,,0x0000
2005,,"Terran Naval Yards builds the FF-4237 frigate exclusively for the Confederation Navy. It is a rugged and flexible design, more than a match for the puny Atonida Kestrel and any other escort ships. The use of this glorious ship as the backbone of the Navy’s task forces will surely be sufficent to crush the Rebellion’s pitiful space fleets.",-1,,0x0000
2006,,"The Terran Naval Yards CR-1095 heavy cruiser is a natural outgrowth of the FF-4237 frigate, and indeed it resembles it closely, except for size. These glorious ships, with their complement of four patrol ships each, will surely bring the Rebellion to its knees.",-1,,0x0000
2007,,"The P-361 patrol fighter, manufactured by the Terran Naval Yards, is the best starfighter ever designed. No other small ship can beat it in a dogfight - at least, such an occurance has never been publically reported…",-1,,0x0000
2008,,"CDX Starworks’s most popular offering, the F/A-927E Rapier attack fighter, is the heaviest-armed starfighter on the market. It has both missile racks and a torpedo launcher, and it is equipped with a laser turret for self-defense as well. However, all this firepower comes at the expense of speed and maneuverability, making the Rapier the clumsiest starfighter around. Still, it is popular with bounty hunters, corporate governments, and anyone needing a little more punch than is offered by other fighters.",-1,,0x0000
2009,,"Blazitron Industries’ new F-563 Lightning fighter-bomber recently won the Shelton Award for Extreme Cleverness, and it’s easy to see why. The Lightning mixes high speed and good maneuverability with excellent firepower, resulting in an unbeatable combination. In addition, the design is so adaptable that a modified version, the F-563N, has been produced for shipboard operations.",-1,,0x0000
2010,,"The CDX Starworks I-287B Defender is used primarily by corporations and small governments who wish to protect their spheres of influence. Although the Defender is the fastest and most maneuverable fighter in production, its light armament, weak shielding, and abysmal fuel capacity relegate it to the role of an in-system interceptor, not a strike fighter. This latest version, the Defender Mk. II, has been retrofitted with larger fuel tanks to address this concern, but it is still limited in range.",-1,,0x0000
2011,,"Forward-thinking executives of the galaxy’s top corporations use the Krydanti Systems Mk. VI executive transport for their business needs. It enables its wealthy passengers to travel quickly in style and comfort, though admittedly without any defensive armament.",-1,,0x0000
2012,,"Centauri Spacelines operates its custom-built luxury liners between all of the Core Worlds. For the price of a ticket, which is literally astronomical, you get six days and nights of blissful relaxation aboard what has been called “the most decadent thing ever to leave drydock.” A gourmet chef and an eager crew are always at your disposal, and, if you’re a member of the aristocracy, so are the pretty young flight attendants who see to the wealthy’s “special” desires.",-1,,0x0000
2013,,"When a team of defecting engineers from CDX Starworks approached the Rebel High Command with a unique proposal, the Rebel destroyer was born. Because of the fact that it is essentially a CDX Argosy with extra armor, uprated engines, and gun turrets, the destroyer is cheap to mass-produce. However, because it is still a freighter at heart, its performance is not up to the level of the Confederate frigate or the Atinoda Kestrel. Still, it remains an important part of the Rebel fleet.",-1,,0x0000
2014,,"Operating in secret and in the worst of conditions from bases on primitive backwater planets, the shipwrights of the Rebellion have crafted one of the most beautiful and lethal fighting ships in existence. The Rebel cruiser’s circular engine-support pylons double as an external docking rack for its complement of Manta fighters; this unique arrangement allows the ship to launch its entire squadron of fighters almost simultaneously, giving it a great advantage in combat.",-1,,0x0000
2015,,"The Atinoda Kestrel is the most powerful ship available to civilians. In addition to its already formidable complement of weaponry, this sleek, black vessel carries a pair of Lightning fighter-bombers; this combination is the reason the Kestrel is classified as an escort frigate. Of course, Atinoda only sells this kind of firepower to the most reputable of private customers, but rumor has it that a freighter full of Kestrel subassemblies recently disappeared near the edge of Confederation space… ",-1,,0x0000
2016,,"When Astrotech Space Industries went bankrupt seven years ago, their remaining inventory of Model F-37B Manta light fighters was quietly bought up by an anonymous party. The Manta, heavily used by the Confederation during the early days of the Great War, has fallen out of favor with modern combateers due to its light armament. Recently, though, a Confederate freighter captain reported being attacked by several “triangular space fighters,” suggesting that the Rebellion may be using these outdated but highly maneuverable ships to further its cause.",-1,,0x0000
2017,,"Krydanti Systems’ Mk. XVII scoutship is used primarily by mining corporations and entrepreneurs to seek out new mineral deposits. It is also a fairly decent courier ship, though its light armament poses a serious disadvantage in a fight. Its main selling point is its extremely long range.",-1,,0x0000
2018,,"The Maskirovka IPV-1 Corvette is a hard ship to classify - its maneuverability and acceleration make it perform like a heavy fighter, but it is armed like a light capital ship. Maskirovka builds the Corvette to fill the gap in the commercial starship market between the classical starfighters and the super-powerful Atinoda Kestrel. The Corvette has been popular with corporate governments who need to police their space, as it makes an excellent customs and patrol vessel.",-1,,0x0000
2019,,"The Terran Naval Yards G-564 missile gunboat is essentially a stretched model of its cousin, the P-361 patrol fighter. As an outgrowth of the earlier P-361 design program, the gunboat’s designers were able to keep high the parts commonality between the two ships; for example, the gunboat’ unique tri-mounted wings are identical to the assemblies used by the patrol ship. The forwarded-mounted strakes along the fuselage sides hold missile racks and rocket launchers.",-1,,0x0000
2023,,"Aerostar Space Industries’ assembly lines are mainly devoted to producing starship subassemblies for other manufacturers, but their C-35 Star Clipper Mk. IV is their most widely-recognized product. This sleek, delta-winged ship is a combination courier vessel and light warship, and excels in both roles. Its offensive and defensive capabilities are quite good for a ship of its size, and it has ample room for expansion that allows it to be turned into either a top-flight cargo hauler or an outstanding heavy fighter.",-1,,0x0000
2024,,"The Atinoda Kestrel is the most powerful ship available to civilians. In addition to its already formidable complement of weaponry, this sleek, black vessel carries a pair of Lightning fighter-bombers; this combination is the reason the Kestrel is classified as an escort frigate. Kestrels are manufactured here from subassemblies captured from a disabled freighter, and are discounted twenty percent off the regular price. Unfortunately, they aren’t quite up to the Atinoda specs...",-1,,0x0000
2100,,"This tiny shuttlecraft seems speedy enough, and its captain is willing to work for relatively low wages - however, you wonder how much his ship’s small cargo capacity will add to your profits.",-1,,0x0000
2101,,"The captain of this light freighter informs you that he can help you add to your profits by trading in goods as your fleet makes its way between planets, as long as there’s no combat involved.",-1,,0x0000
2102,,Talking to the captain of a bulk freighter.,-1,,0x0000
2103,,"This courier ship appears to be in good condition, and its cargo hold seems spacious enough to help you earn a small amount of profit.",-1,,0x0000
2104,,"The boastful captain of this Argosy informs you that his ship is a first-rate vessel, and - more importantly - he’s not afraid of a little firefight now and then.",-1,,0x0000
2105,,"Due to your outstanding services, the Confederation has made available a limited number of its frigates for your fleet - for a small fee, of course.",-1,,0x0000
2106,,"The Confederation is not above making a bit of money on the side, so it has agreed to hire out a number of its heavy cruisers to you, assuming you can afford the fee.",-1,,0x0000
2107,,"This Confederation patrol ship would make a fine addition to your fleet, provided you are willing to pay the Confederation Navy to make up for the ship’s absence.",-1,,0x0000
2108,,The pilot of this Rapier informs you that his ship would make a fine defensive addition to your fleet.,-1,,0x0000
2109,,"This pilot, while somewhat full of bravado, would nonetheless make a good addition to your fleet: his Lightning fighter is a top-notch defensive ship.",-1,,0x0000
2110,,"This Defender pilot doesn’t claim to be able to stop all who would attack you, but his asking price is low enough.",-1,,0x0000
2111,,Talking to the captain of an executive transport.,-1,,0x0000
2112,,Talking to the captain of a liner.,-1,,0x0000
2113,,"This Rebel destroyer captain is willing to escort you, as long as you don’t mind making a “contribution” to the Rebellion first.",-1,,0x0000
2114,,"Rebel cruisers are powerful fleet vessels, and the fee to convince the Rebel High Command to loan you one is consequently a large one.",-1,,0x0000
2115,,"“My ship is a Kestrel,” says this starship captain. “What else do you need to know?”",-1,,0x0000
2116,,Manta light fighters were commonly used as escort vessels during the Great War. This one can be loaned to you by the Rebellion for a small fee.,-1,,0x0000
2117,,"This scoutship pilot and his first mate tell you that their ship is fast and their cargo bay large. You still wonder about their claim that they would be able to defend themselves from attack, though.",-1,,0x0000
2118,,This corvette’s captain and crew promise to defend you against all attacks - for a price.,-1,,0x0000
2123,,Clipper ships like these are known for their speed and durability. You think of this as you consider hiring one to add to your freighter fleet.,-1,,0x0000
2124,,"“My ship is a Kestrel,” says this starship captain. “What else do you need to know?”",-1,,0x0000
2900,,"Bosses don't like you?  Trapped in space and forced to watch cheesy movies?  Have to keep your sanity with the help of your robot friends?  Then this ship is for you.  Only one has been made to date.  This “Satellite of Love” features a full theater in the forward section and living quarters below deck.  Deep 13 not included.  If you're wondering how you’ll eat and breathe and other science facts, then repeat to yourself, “It's just a game,  I should really just relax.”",-1,,0x0000
3000,,The Centauri Munitions laser cannon has been the standard defensive weapon for freighters and patrol craft for the last fifty years.,-1,,0x0000
3001,,The neutron blaster is the most powerful energy weapon available on the open market. Its short range is offset by its very high damage rating. ,-1,,0x0000
3002,,"Proton bolt cannons use coaxial magnetic accelerators to boost charged particles to incredible velocities. As a result, proton bolts have a long range and good accuracy, though they don’t do as much damage as neutron rounds.",-1,,0x0000
3003,,"Torpedo launchers are used to load, arm, and fire homing torpedoes.",-1,,0x0000
3004,,"Homing torpedoes are relatively cheap, long-range weapons. Their guidance systems are primitive, however, and they are much slower than missiles. The electromagnetic fields used to separate the components of the torpedo’s matter/antimatter warhead cause it to glow in flight. This same electromagnetic field, when combined with excessive interference, can sometimes confuse the torpedo’s guidance systems.",-1,,0x0000
3005,,Missile racks are used to carry and fire guided missiles.,-1,,0x0000
3006,,"Very few things can a shake Consolidated Arms Mk. 83 guided missile once it has acquired its target. However, its targeting sensor array does have a manufacturing flaw that occasionally causes it to become distracted by other objects moving across its flight path.",-1,,0x0000
3007,,This auxilliary cargo hold attaches to the hull of your ship and increases your cargo capacity by 10 tons.,-1,,0x0000
3008,,"The turreted version of Centauri Munitions’ laser cannon combines the original’s long range and decent punch with a computer-guided omnidirectional targeting platform, which provides the dual-mounted laser turret with a 360° field of fire.",-1,,0x0000
3009,,"The proton bolt turret, like the standard proton bolt cannon, excels at damaging both shields and armor. This model features triple proton bolt cannons mounted on a computer-guided swivel platform, for accurate tracking at all angles.",-1,,0x0000
3010,,"The Mastech corporation struck gold with its F-5 Hawk light fighters and their associated launching bay. Previously, shipborne fighters had been the playthings of the rich and the military. Mastech’s idea was to market a low-cost starfighter that the average starship captain could afford to add to his ship. This self-contained launching bay includes all the equipment needed to launch, recover, repair, and rearm a pair of Hawks.",-1,,0x0000
3011,,"Mastech’s F-5 Hawk light fighter provides an excellent defense for all types of starships. This specialized fighter was designed to operate only from the launch bays of other ships, and the resulting design compromises mean that its manuverability and speed aren’t the greatest, and it is only armed with a set of laser cannons and a pair of missiles. Still, the fact that any large ship can mount the Hawk’s launch bay makes it an attractive aftermarket addition to any space captain’s arsenal.",-1,,0x0000
3012,,"By sacrificing fifteen tons of cargo capacity, this modification to your ship’s structure allows you to carry ten tons more of weapons and upgrades.",-1,,0x0000
3013,,"The P-361 patrol fighter, manufactured by the Terran Naval Yards, is the best starfighter ever designed. No other small ship can beat it in a dogfight - at least, such an occurance has never been publically reported…",-1,,0x0000
3014,,"When Astrotech Space Industries went bankrupt seven years ago, their remaining inventory of Model F-37B Manta light fighters was quietly bought up by an anonymous party. The Manta, heavily used by the Confederation during the early days of the Great War, has fallen out of favor with modern combateers due to its light armament. Recently, though, a Confederate freighter captain reported being attacked by several “triangular space fighters,” suggesting that the Rebellion may be using these outdated but highly maneuverable ships to further its cause.",-1,,0x0000
3015,,"The navalized version of Blazitron’s popular Lightning fighter-bomber has a strengthened main keel and special fittings for landing aboard other starships. Currently, the only ship capable of carrying it is the Atonida Kestrel.",-1,,0x0000
3016,,"Old technologies never die, they just get new names. The mass driver is the modern-day equivalent of the ancient gatling gun; it uses electromagnets to accelerate small metallic slugs - usually made of depleted uranium - to reasonably high velocities. Because of their composition, mass driver slugs do much more damage to armor than to shields.",-1,,0x0000
3017,,Shield capacitors are pure tantalum energy storage modules that can increase the maximum shield capacity of any ship by 15 terawatts.,-1,,0x0000
3018,,"A shield booster is a dangerous and highly illegal ship upgrade, available only on seedier planets. It routes drive plasma directly from a ship’s engine core to its shield generator, increasing the rate of shield regeneration.",-1,,0x0000
3019,,"DoPunt’s #3019 Armaplast is a hybrid material, combining the lightness of Sup-R-Kevlar or TuffSheath with reasonably good strength.",-1,,0x0000
3020,,"Durasteel armor is made of a denser material than Armaplast, resulting in a higher strength rating. Most warships’ hulls are composed of durasteel, and add-on plating kits like this one are popular as well.",-1,,0x0000
3021,,"This newest creation from the labs of Terran MetalWorks is one of the strongest metals known to man. The Confederation Navy has requisitioned all supplies of tritanium for use in its Cruiser Upgrade Program, and tritanium armor plating kits like this are only available on the black market.",-1,,0x0000
3022,,"Give a skilled technician a few hours with your engine and a wrench, and he can work miracles. By tweaking the fuel flow to the engine core, this upgrade actually increases your ship’s available acceleration.",-1,,0x0000
3023,,"Various add-on devices have been manufactured with the intent of increasing a ship’s speed, but none have been as effective as this simple tune-up. A talented mechanic who performs this operation on your ship’s propulsion system can boost your ship’s top speed by 150 AU/h.",-1,,0x0000
3024,,"Those looking for a little extra maneuverability should look into this upgrade. Gifted shipwrights refit your vessel with improved, platinum-plated ducting between the engine core and the reaction control systems, resulting in increased plasma flow. This modification can increase your ship’s turn rate by 30°/sec. ",-1,,0x0000
3025,,"This fuel tank attaches to the hull of your ship and increases your fuel capacity by 100 units, enough for one additional hyperspace jump before refuelling.",-1,,0x0000
